communication_event_id,event_source_id,artifact_kind,artifact_url,status
comm-23abb1373213ffb64dc29cce,src-6ccad1266ce0739c654f9fbd,VIDEO,https://www.youtube.com/watch?v=tww2GrUxwX4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-23d4bd4ab3778d37500ae31f,src-495763c41bed4de10ae9f83e,VIDEO,https://www.youtube.com/watch?v=xxiSpry2lNk,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-23df1eecdf3ec269a6617ef1,src-b29cb0a9c8271d301d6e2dea,VIDEO,https://youtu.be/1jEMcGh9ie0,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-25388517e4ad243a1bb3759b,src-6050a82219ea9a539eafc568,VIDEO,https://www.youtube.com/watch?v=754Iprs5cz4,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,TRANSCRIPT_OR_CAPTIONS,https://www.minneapolisfed.org/events/2020/racism-and-the-economy-series-kickoff-event/event-transcript,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://www.youtube.com/watch?v=lj50pYNbf2g,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/-yw2WEzgy7g,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/4NUcQoAflc0,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/FN42-GvaRAs,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
comm-253ace24123be92aff954552,src-d2312e622891c11154b13cf9,VIDEO,https://youtu.be/IhJ0xcWr7Xc,LINK_INVENTORIED_NOT_BINARY_DOWNLOADED
